run_id,log,arm,model,step,reward,K_train,invalid,gen_len,p_model,mean_K,slope,k_at_p_lo,k_at_p_hi,p_lo,p_hi
evidential_cot_kl002,results/run_cot_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,88.00,0.36,0.00,128.0,,0.609,+0.25,0.50,0.75,0.50,0.99
evidential_cot_kl002,results/run_cot_kl002.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,75.88,0.64,0.00,128.0,,0.578,+0.12,0.75,0.88,0.50,0.99
evidential_cot_kl005,results/run_cot_kl005.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.703,+0.00,0.75,0.75,0.50,0.99
evidential_cot_kl005,results/run_cot_kl005.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,70.80,0.52,0.08,128.0,,,,,,,
evidential_cot_kl005,results/run_cot_kl005.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,77.00,0.84,0.00,128.0,,0.812,+0.00,0.88,0.88,0.50,0.99
evidential_cot_kl005,results/run_cot_kl005.log,evidential,Qwen/Qwen2.5-3B-Instruct,40,80.00,0.44,0.00,128.0,,0.688,-0.12,0.75,0.62,0.50,0.99
evidential_cot_kl005,results/run_cot_kl005.log,evidential,Qwen/Qwen2.5-3B-Instruct,60,80.12,0.32,0.00,128.0,,0.540,+0.00,0.50,0.50,0.50,0.99
evidential_cot_kl01,results/run_cot_kl01.log,evidential,Qwen/Qwen2.5-3B-Instruct,0,,,,,,0.703,+0.00,0.75,0.75,0.50,0.99
evidential_cot_kl01,results/run_cot_kl01.log,evidential,Qwen/Qwen2.5-3B-Instruct,1,70.80,0.52,0.08,128.0,,,,,,,
evidential_cot_kl01,results/run_cot_kl01.log,evidential,Qwen/Qwen2.5-3B-Instruct,20,83.48,0.60,0.00,128.0,,0.540,-0.12,0.50,0.38,0.50,0.99
